Time,Open,High,Low,Close,Volume
1614578400000,1.26549,1.26782,1.23131,1.23817,31990058.3
1614582000000,1.23823,1.28362,1.23683,1.27699,34907140.0
1614585600000,1.27708,1.308,1.2755,1.28321,52461368.1
1614589200000,1.28321,1.2919,1.25413,1.26201,48292481.8
1614592800000,1.26226,1.268,1.23616,1.26025,48407747.3
1614596400000,1.26025,1.2795,1.2601,1.27078,39818361.0
1614600000000,1.27067,1.29081,1.26786,1.27136,34730151.2
1614603600000,1.27131,1.27976,1.25101,1.256,37332598.1
1614607200000,1.25592,1.28019,1.25,1.26668,33054707.2
1614610800000,1.26662,1.28,1.25806,1.27895,40829576.4
1614614400000,1.27894,1.348,1.27776,1.29985,146139202.1
1614618000000,1.30069,1.31458,1.2622,1.26819,50451597.5
1614621600000,1.26819,1.29681,1.26,1.28901,34943033.9
1614625200000,1.28901,1.2925,1.27118,1.27881,21453679.9
1614628800000,1.2786,1.30495,1.27655,1.29165,28159040.0
1614632400000,1.29136,1.319,1.28919,1.31323,31028600.9
1614636000000,1.31348,1.31452,1.2921,1.3009,24558992.4
1614639600000,1.30087,1.30363,1.28197,1.29627,29355799.6
1614643200000,1.29678,1.29998,1.212,1.23262,72596905.2
1614646800000,1.23206,1.25141,1.215,1.22789,50091461.2
1614650400000,1.22789,1.24749,1.19473,1.21788,70526476.4
1614654000000,1.21788,1.2327,1.2103,1.21651,24993019.8
1614657600000,1.21663,1.2299,1.201,1.2291,21572690.1
1614661200000,1.22949,1.22983,1.21474,1.21558,16350993.0
1614664800000,1.21558,1.22782,1.19313,1.21972,38379640.2
1614668400000,1.21994,1.232,1.20325,1.21238,24900147.3
1614672000000,1.21239,1.238,1.20882,1.23432,23693655.6
1614675600000,1.23432,1.25299,1.2302,1.23878,31271346.6
1614679200000,1.23878,1.2425,1.22086,1.22659,19828757.3
1614682800000,1.22635,1.23647,1.22159,1.23323,15028580.9
1614686400000,1.23321,1.23587,1.22137,1.22554,16908658.5
1614690000000,1.22578,1.24427,1.22408,1.23663,20972578.1
1614693600000,1.2368,1.27181,1.23344,1.25404,48257149.5
1614697200000,1.25356,1.25506,1.2325,1.24244,26602721.3
1614700800000,1.2425,1.2528,1.20002,1.20786,41373510.1
1614704400000,1.20818,1.21699,1.196,1.21173,46304425.3
1614708000000,1.21186,1.22,1.20227,1.20412,21737881.3
1614711600000,1.20412,1.21,1.18,1.19572,36125813.5
1614715200000,1.19561,1.205,1.18602,1.1965,23110353.0
1614718800000,1.19665,1.19925,1.18538,1.18724,20216812.2
1614722400000,1.18723,1.21709,1.18352,1.20977,19605648.5
1614726000000,1.20894,1.22909,1.20849,1.2228,23455278.0
1614729600000,1.22281,1.23,1.20865,1.22914,20617305.0
1614733200000,1.2293,1.2385,1.22436,1.22904,17453173.7
1614736800000,1.22904,1.23599,1.22354,1.22696,11351224.4
1614740400000,1.22683,1.23015,1.21262,1.21828,12282507.7
1614744000000,1.21846,1.23966,1.21747,1.23652,19947962.6
1614747600000,1.23592,1.239,1.22741,1.23292,10863392.4
1614751200000,1.2329,1.24849,1.2329,1.23543,21267720.5
1614754800000,1.23533,1.24293,1.23533,1.24136,19025870.6
1614758400000,1.24137,1.26376,1.23556,1.25654,34947139.4
1614762000000,1.25678,1.26175,1.24394,1.25247,24134216.4
1614765600000,1.25254,1.26,1.2385,1.24282,22688241.8
1614769200000,1.24282,1.25264,1.2389,1.24347,18423314.1
1614772800000,1.24344,1.26636,1.24056,1.25779,25910772.9
1614776400000,1.25753,1.2593,1.24166,1.24557,21971707.1
1614780000000,1.24558,1.24594,1.21596,1.22399,32277745.7
1614783600000,1.22379,1.23375,1.223,1.23287,15456434.8
1614787200000,1.233,1.23945,1.22612,1.23344,13677428.2
1614790800000,1.23373,1.246,1.23195,1.24259,17380036.6
1614794400000,1.24252,1.258,1.23463,1.24891,20503834.8
1614798000000,1.249,1.25367,1.22103,1.23925,25172024.4
